,customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport
3738,4950-BDEUX,Male,0,No,No,35,No,No phone service,DSL,No,No,Yes,No
3151,7993-NQLJE,Male,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No
4860,7321-ZNSLA,Male,0,Yes,Yes,13,No,No phone service,DSL,Yes,Yes,No,Yes
3867,4922-CVPDX,Female,0,Yes,No,26,Yes,No,DSL,No,Yes,Yes,No
3810,2903-YYTBW,Male,0,Yes,Yes,1,Yes,No,DSL,No,No,No,No
2666,8414-OOEEL,Male,0,No,Yes,66,Yes,No,DSL,No,Yes,Yes,Yes
2645,8562-GHPPI,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service
189,8017-UVSZU,Female,0,Yes,No,40,Yes,Yes,DSL,No,Yes,No,No
5767,1972-XMUWV,Female,0,Yes,No,65,Yes,No,DSL,No,No,No,Yes
2257,2054-PJOCK,Female,0,No,No,60,Yes,Yes,DSL,No,No,Yes,Yes
2641,8250-ZNGGW,Female,1,No,No,5,Yes,No,DSL,Yes,Yes,No,Yes
6950,2075-RMJIK,Female,0,Yes,Yes,5,Yes,No,DSL,Yes,No,No,No
3938,6629-LADHQ,Female,0,No,No,2,Yes,No,DSL,Yes,No,No,No
2764,1810-MVMAI,Male,0,Yes,Yes,30,Yes,Yes,DSL,Yes,Yes,Yes,Yes
3113,0396-YCHWO,Male,0,Yes,No,36,Yes,Yes,Fiber optic,No,No,No,No
2986,1303-SRDOK,Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,No,No,No
5427,2455-USLMV,Female,0,No,No,31,Yes,Yes,Fiber optic,Yes,No,Yes,No
328,5697-GOMBF,Female,1,Yes,Yes,28,No,No phone service,DSL,No,No,No,No
11,7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service
4559,7787-BNTZM,Male,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service
6271,6726-WEXXK,Male,1,Yes,No,27,Yes,Yes,Fiber optic,Yes,No,Yes,No
6234,5995-LFTLE,Male,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service
3741,2984-TBYKU,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes
6937,7746-AWNQW,Female,0,No,No,28,No,No phone service,DSL,No,No,Yes,Yes
